,Lemma,Word list,Total F,Coverage,Cumulative,Unnamed: 5,67205779
141,bit,1 - NGSL,48857,0.0007267240795101026,0.7017547022641597,,
142,different,1 - NGSL,48731,0.000724849890877598,0.7024795521550373,,
143,great,1 - NGSL,48592,0.0007227823335766605,0.703202334488614,,
144,again,1 - NGSL,48031,0.0007144377318081286,0.7039167722204221,,
145,same,1 - NGSL,47757,0.0007103621152580791,0.7046271343356802,,
146,another,1 - NGSL,47481,0.0007062567496821168,0.7053333910853624,,
147,might,1 - NGSL,47401,0.000705066788645606,0.706038457874008,,
148,show,1 - NGSL,46715,0.0006948628727575258,0.7067333207467655,,
149,man,1 - NGSL,46657,0.0006940001510060555,0.7074273208977716,,
150,number,1 - NGSL,46541,0.0006922747075031149,0.7081195956052747,,
151,never,1 - NGSL,45367,0.0006748120292923189,0.708794407634567,,
152,around,1 - NGSL,45221,0.0006726403504006866,0.7094670479849677,,
153,world,1 - NGSL,45101,0.0006708554088459205,0.7101379033938137,,
154,next,1 - NGSL,45055,0.0006701711812499267,0.7108080745750636,,
155,government,1 - NGSL,44736,0.0006654262116168399,0.7114735007866804,,
156,school,1 - NGSL,44689,0.0006647271095078898,0.7121382278961883,,
157,place,1 - NGSL,44679,0.000664578364378326,0.7128028062605666,,
158,state,1 - NGSL,44361,0.0006598482692581956,0.7134626545298248,,
159,money,1 - NGSL,44319,0.0006592235397140274,0.7141218780695389,,
160,end,1 - NGSL,44209,0.000657587343288825,0.7147794654128277,,
161,life,1 - NGSL,44157,0.000656813868615093,0.7154362792814427,,
162,help,1 - NGSL,44011,0.0006546421897234608,0.7160909214711662,,
163,play,1 - NGSL,43854,0.0006523068911893084,0.7167432283623555,,
164,interest,1 - NGSL,43557,0.000647889160841262,0.7173911175231967,,
165,may,1 - NGSL,43454,0.0006463570860067543,0.7180374746092035,,
166,fact,1 - NGSL,42410,0.0006308280944802883,0.7186683027036839,,
167,keep,1 - NGSL,42211,0.0006278680664019678,0.7192961707700858,,
168,report,1 - NGSL,41952,0.000624015567546264,0.719920186337632,,
169,live,1 - NGSL,41862,0.0006226768613801894,0.7205428631990122,,
170,sure,1 - NGSL,41703,0.0006203118138201242,0.7211631750128323,,
171,home,1 - NGSL,41521,0.0006176046524620621,0.7217807796652944,,
172,always,1 - NGSL,41259,0.0006137075300674893,0.7223944871953619,,
173,leave,1 - NGSL,41222,0.000613157173088103,0.72300764436845,,
174,course,1 - NGSL,40626,0.0006042919633660975,0.7236119363318161,,
175,write,1 - NGSL,40615,0.0006041283437235773,0.7242160646755397,,
176,woman,1 - NGSL,40508,0.0006025367708372441,0.7248186014463769,,
177,child,1 - NGSL,40492,0.0006022987786299419,0.7254209002250068,,
178,probably,1 - NGSL,40423,0.0006012724372359514,0.7260221726622428,,
179,every,1 - NGSL,39881,0.0005932104512135907,0.7266153831134564,,
180,president,1 - NGSL,39556,0.0005883762345027656,0.7272037593479592,,
181,own,1 - NGSL,38989,0.0005799423856564953,0.7277837017336157,,
182,case,1 - NGSL,38571,0.0005737248392407263,0.7283574265728564,,
183,meet,1 - NGSL,38275,0.0005693219834056363,0.728926748556262,,
184,okay,1 - NGSL,38081,0.0005664363278920976,0.7294931848841542,,
185,anything,1 - NGSL,37880,0.0005634465507878643,0.730056631434942,,
186,quite,1 - NGSL,37816,0.0005624945819586556,0.7306191260169007,,
187,book,1 - NGSL,37675,0.0005603972756318054,0.7311795232925326,,
188,move,1 - NGSL,37444,0.0005569612631388804,0.7317364845556714,,
189,run,1 - NGSL,37242,0.0005539566115216907,0.7322904411671931,,
190,story,1 - NGSL,36485,0.0005426966052137072,0.7328331377724068,,
191,pay,1 - NGSL,36124,0.0005373269060364522,0.7333704646784432,,
192,believe,1 - NGSL,35981,0.0005351998506836892,0.733905664529127,,
193,both,1 - NGSL,35744,0.0005316745911130259,0.73443733912024,,
194,bring,1 - NGSL,35692,0.0005309011164392938,0.7349682402366793,,
195,job,1 - NGSL,35640,0.0005301276417655618,0.7354983678784448,,
196,old,1 - NGSL,35576,0.0005291756729363532,0.7360275435513811,,
197,seem,1 - NGSL,35574,0.0005291459239104404,0.7365566894752915,,
198,late,1 - NGSL,35521,0.000528357574723752,0.7370850470500153,,
199,read,1 - NGSL,35311,0.0005252339270029112,0.7376102809770182,,
200,maybe,1 - NGSL,35048,0.0005213219300953819,0.7381316029071135,,
201,house,1 - NGSL,34884,0.0005188825099705348,0.7386504854170841,,
202,high,1 - NGSL,34124,0.0005075778801236822,0.7391580632972078,,
203,kid,1 - NGSL,34068,0.0005067449073981246,0.7396648082046059,,
204,speak,1 - NGSL,33847,0.0005034576400347635,0.7401682658446407,,
205,whether,1 - NGSL,33683,0.0005010182199099163,0.7406692840645506,,
206,family,1 - NGSL,33412,0.0004969872268987361,0.7411662712914493,,
207,month,1 - NGSL,33329,0.0004957526423233561,0.7416620239337727,,
208,between,1 - NGSL,32534,0.00048392740452303,0.7421459513382958,,
209,group,1 - NGSL,31876,0.00047413997499772865,0.7426200913132934,,
210,bad,1 - NGSL,31848,0.0004737234886349499,0.7430938148019284,,
211,important,1 - NGSL,31799,0.000472994637500087,0.7435668094394284,,
212,few,1 - NGSL,31518,0.0004688148993593428,0.7440356243387878,,
213,though,1 - NGSL,31295,0.00046549788297006896,0.7445011222217579,,
214,turn,1 - NGSL,31025,0.000461481764471845,0.7449626039862297,,
215,become,1 - NGSL,30979,0.0004607975368758513,0.7454234015231056,,
216,away,1 - NGSL,30929,0.00046005381122803205,0.7458834553343336,,
217,understand,1 - NGSL,30752,0.00045742102243475193,0.7463408763567684,,
218,ago,1 - NGSL,30332,0.0004511737269930702,0.7467920500837615,,
219,able,1 - NGSL,29978,0.0004459081494065099,0.747237958233168,,
220,night,1 - NGSL,29726,0.0004421597721415009,0.7476801180053094,,
221,vote,1 - NGSL,29724,0.0004421300231155881,0.748122248028425,,
